Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,ID
513,Armel Traoré,22,LAL,SF,9,0,67,0.316,10.3,0.632,0.474,0.158,0,0,0.368,0.5,0.556,0.333,,,0,0.833,,0.105,2,0.714,0,0,0,,armeltr01
542,Trentyn Flowers,19,LAC,SF,6,0,27,0.364,10.3,0.818,0.182,0.364,0.182,0.091,0.182,0.444,0.5,0.5,0.5,0,0,0.5,,0.091,1,0.5,0,0,0,,flowetr01
22,Dyson Daniels,21,ATL,SG,76,76,2571,0.493,10.4,0.745,0.284,0.377,0.078,0.007,0.255,0.545,0.676,0.486,0.389,0.167,0.34,0.517,0.938,0.054,45,0.217,0.431,6,0,DPOY-2MIP-1DEF1,daniedy01
354,Olivier-Maxence Prosper,22,DAL,PF,52,4,584,0.402,10.4,0.707,0.356,0.276,0.029,0.046,0.293,0.472,0.661,0.313,0,0.25,0.235,0.638,1,0.08,11,0.667,0.265,0,0,,prospol01
353,Jae'Sean Tate,29,HOU,SF,52,2,588,0.473,10.4,0.689,0.27,0.385,0.034,0,0.311,0.529,0.7,0.421,0.4,,0.348,0.519,1,0.041,4,0.674,0.452,0,0,,tateja01
155,Peyton Watson,22,DEN,SF,68,18,1656,0.477,10.7,0.682,0.35,0.257,0.058,0.016,0.318,0.534,0.707,0.382,0.32,0,0.353,0.801,0.979,0.178,59,0.551,0.453,1,0,,watsope01
145,Anthony Davis,31,2TM,C,51,51,1706,0.516,10.8,0.864,0.297,0.291,0.144,0.132,0.136,0.553,0.756,0.487,0.344,0.475,0.282,0.605,0.886,0.099,86,0.081,0.1,0,0,AS,davisan02
27,Karl-Anthony Towns,29,NYK,C,72,72,2517,0.526,10.8,0.722,0.353,0.277,0.058,0.035,0.278,0.567,0.695,0.476,0.4,0.262,0.42,0.586,0.972,0.071,76,0.062,0.333,0,0,ASNBA3,townska01
329,Blake Wesley,21,SAS,SG,58,0,683,0.435,10.8,0.688,0.446,0.134,0.065,0.043,0.312,0.5,0.602,0.4,0.333,0,0.293,0.656,0.941,0.081,14,0.362,0.333,0,0,,weslebl01
408,Quenton Jackson,26,IND,PG,28,7,381,0.475,10.8,0.672,0.451,0.156,0.025,0.041,0.328,0.524,0.618,0.368,0.333,0.2,0.375,0.558,0.933,0.074,8,0.3,0.333,0,0,,jacksqu01
113,RJ Barrett,24,TOR,SF,58,58,1869,0.468,10.9,0.688,0.354,0.273,0.049,0.012,0.312,0.522,0.624,0.392,0.542,0.417,0.35,0.459,0.925,0.032,27,0.229,0.4,1,0,,barrerj01
258,Jusuf Nurkić,30,2TM,C,51,32,1063,0.477,10.9,0.702,0.293,0.375,0.028,0.006,0.298,0.551,0.689,0.47,0.3,0,0.305,0.676,0.969,0.065,20,0.105,0.455,1,0,,nurkiju01
269,Kyle Anderson,31,2TM,PF,61,4,1002,0.469,10.9,0.769,0.185,0.429,0.102,0.053,0.231,0.502,0.714,0.469,0.355,0.313,0.357,0.496,0.96,0.036,10,0.443,0.452,4,0,,anderky01
538,Leonard Miller,21,MIN,SF,13,0,32,0.4,10.9,0.667,0.4,0.2,0.067,0,0.333,0.6,0.667,0.667,0,,0,0.667,,0.067,1,0,,0,0,,millele01
232,John Collins,27,UTA,PF,40,31,1220,0.527,11,0.721,0.234,0.371,0.066,0.051,0.279,0.577,0.702,0.548,0.343,0.519,0.399,0.647,0.966,0.13,66,0.385,0.439,0,0,,collijo01
343,Daniel Theis,32,NOP,C,38,9,621,0.473,11.1,0.713,0.31,0.271,0.116,0.016,0.287,0.565,0.7,0.457,0.467,0.5,0.243,0.75,1,0.116,11,0.243,0,0,0,,theisda01
